Euler Implicito Punto C4.txt
SOLUCION PARA EULER IMPLICITO 
Paso = 1.00
Año: 1
U0 = 1.260000  T = 0.0  MES = 1.0
U207 = 2.294507  T = 207.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U208 = 2.201364  T = 208.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U209 = 2.123619  T = 209.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U210 = 3.601914  T = 210.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U211 = 3.289140  T = 211.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U212 = 3.025364  T = 212.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U213 = 2.802289  T = 213.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U214 = 2.613240  T = 214.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U215 = 2.452768  T = 215.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 19
U216 = 2.701408  T = 216.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U217 = 2.537478  T = 217.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U218 = 2.401854  T = 218.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U219 = 2.289485  T = 219.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U220 = 2.196110  T = 220.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U221 = 2.118308  T = 221.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U222 = 3.601527  T = 222.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U223 = 3.287585  T = 223.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U224 = 3.023014  T = 224.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U225 = 2.799413  T = 225.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U226 = 2.610032  T = 226.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U227 = 2.449372  T = 227.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 20
U228 = 2.699100  T = 228.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U229 = 2.533786  T = 229.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U230 = 2.397298  T = 230.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U231 = 2.284441  T = 231.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U232 = 2.190836  T = 232.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U233 = 2.112977  T = 233.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U234 = 3.601153  T = 234.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U235 = 3.286036  T = 235.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U236 = 3.020663  T = 236.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U237 = 2.796532  T = 237.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U238 = 2.606820  T = 238.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U239 = 2.445971  T = 239.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 21
U240 = 2.696800  T = 240.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
